"Keyword"	"SERP features"	"Volume"	"KD"	"CPC"	"Previous organic traffic"	"Current organic traffic"	"Organic traffic change"	"Current paid traffic"	"Previous position"	"Current position"	"Position change"	"Previous URL inside"	"Previous URL"	"Current URL inside"	"Current URL"	"Previous date"	"Current date"
"how to cancel keto pills order"	"People also ask, Sitelinks, Video preview"	"700"	"5"	""	"261"	"261"	"0"	"0"	"1"	"1"	""	""	"https://help.perfectketo.com/article/1l43gu37iq-how-do-i-cancel-my-order"	""	"https://help.perfectketo.com/article/1l43gu37iq-how-do-i-cancel-my-order"	"2023-02-08 13:30:06"	"2023-04-28 06:03:36"
"collagen vs protein powder"	"People also ask"	"700"	"12"	""	"7"	"258"	"251"	"0"	"14"	"1"	"13"	""	"https://perfectketo.com/collagen-protein-vs-whey-protein/"	""	"https://perfectketo.com/collagen-protein-vs-whey-protein/"	"2023-02-05 05:42:43"	"2023-04-25 16:06:11"
"gki calculator"	"Sitelinks, People also ask, Video preview"	"1600"	"3"	""	"251"	"246"	"-5"	"0"	"2"	"2"	""	""	"https://perfectketo.com/glucose-ketone-index-calculator/"	""	"https://perfectketo.com/glucose-ketone-index-calculator/"	"2023-02-23 13:00:48"	"2023-04-27 10:48:22"
"keto rash"	"People also ask, Image pack, Sitelinks"	"5900"	"13"	"0.35"	"320"	"225"	"-94"	"0"	"7"	"4"	"3"	""	"https://perfectketo.com/keto-rash/"	"Image pack"	"https://perfectketo.com/keto-rash/"	"2023-03-01 08:17:56"	"2023-04-30 08:30:16"
"benefits of ceylon cinnamon"	"People also ask, Top stories, Thumbnail, Video preview"	"5500"	"62"	"0.55"	"142"	"222"	"80"	"0"	"9"	"7"	"2"	""	"https://perfectketo.com/ceylon-cinnamon-benefits/"	""	"https://perfectketo.com/ceylon-cinnamon-benefits/"	"2023-02-23 17:57:54"	"2023-05-01 01:19:11"
"keto friendly snacks"	"People also ask, Shopping results, Thumbnail"	"14000"	"36"	"1.49"	"0"	"211"	"211"	"0"	"63"	"11"	"52"	""	"https://perfectketo.com/ultimate-healthy-keto-snack-list/"	""	"https://perfectketo.com/keto-snacks/"	"2023-03-01 12:08:36"	"2023-05-01 17:19:35"
"keto restaurants near me"	"Local teaser, People also ask"	"17000"	"36"	"4.57"	""	"204"	""	"0"	""	"12"	"New"	""	""	""	"https://perfectketo.com/keto-fast-food/"	""	"2023-05-02 05:35:17"
"popcorn on keto"	"People also ask, Sitelinks, Top stories, Thumbnail, Video preview"	"5600"	"20"	"0.00"	"126"	"197"	"71"	"0"	"7"	"5"	"2"	""	"https://perfectketo.com/is-popcorn-keto-friendly/"	""	"https://perfectketo.com/is-popcorn-keto-friendly/"	"2023-02-27 23:37:53"	"2023-05-01 09:40:14"
"how long does it take to get into ketosis"	"Featured snippet, Thumbnail, People also ask, Sitelinks, Video preview"	"9300"	"17"	"2.48"	"115"	"192"	"77"	"0"	"7"	"6"	"1"	""	"https://perfectketo.com/how-long-ketosis/"	""	"https://perfectketo.com/how-long-ketosis/"	"2023-02-28 09:46:09"	"2023-04-30 22:49:46"
"allulose vs erythritol"	"People also ask"	"700"	"0"	""	"61"	"189"	"128"	"0"	"3"	"1"	"2"	""	"https://perfectketo.com/allulose-vs-erythritol/"	""	"https://perfectketo.com/allulose-vs-erythritol/"	"2023-03-01 17:36:44"	"2023-04-28 20:32:32"
"best vegetables for weight loss"	"People also ask, Top stories, Thumbnail, Video preview"	"5100"	"43"	"5.72"	"187"	"187"	"0"	"0"	"9"	"9"	""	""	"https://perfectketo.com/top-11-best-vegetables-for-weight-loss/"	""	"https://perfectketo.com/top-11-best-vegetables-for-weight-loss/"	"2023-02-28 10:47:55"	"2023-05-02 02:54:04"
"keto snack list"	"People also ask, Videos, Video preview"	"2400"	"33"	"1.83"	"195"	"183"	"-12"	"0"	"5"	"5"	""	""	"https://perfectketo.com/ultimate-healthy-keto-snack-list/"	""	"https://perfectketo.com/keto-snacks/"	"2023-02-14 23:10:52"	"2023-04-28 21:36:14"
"keto snacks list"	"Sitelinks, People also ask"	"2300"	"33"	""	"114"	"179"	"64"	"0"	"7"	"5"	"2"	""	"https://perfectketo.com/ultimate-healthy-keto-snack-list/"	""	"https://perfectketo.com/keto-snacks/"	"2023-02-27 18:15:08"	"2023-05-01 01:28:18"
"costco keto"	"Sitelinks"	"1800"	"16"	"0.00"	"46"	"177"	"131"	"0"	"10"	"4"	"6"	""	"https://perfectketo.com/costco-keto/"	""	"https://perfectketo.com/costco-keto/"	"2023-03-01 18:54:37"	"2023-04-26 11:00:22"
"almond butter keto"	"People also ask, Top stories, Thumbnail, Shopping results, Image pack, Video preview"	"600"	"7"	"0.22"	"191"	"176"	"-15"	"0"	"1"	"1"	""	""	"https://perfectketo.com/almond-butter-keto/"	""	"https://perfectketo.com/almond-butter-keto/"	"2023-02-13 15:29:17"	"2023-04-28 04:09:31"
"carbs in cabbage"	"People also ask, Knowledge panel, Top stories, Thumbnail, Sitelinks, Video preview"	"9200"	"37"	"1.13"	"176"	"176"	"0"	"0"	"6"	"6"	""	""	"https://perfectketo.com/carbs-in-cabbage/"	""	"https://perfectketo.com/carbs-in-cabbage/"	"2023-02-28 18:27:55"	"2023-04-30 06:07:58"
"keto snacks"	"People also ask, Shopping results, Thumbnail, Sitelinks, Video preview"	"87000"	"31"	"1.25"	""	"169"	""	"0"	""	"21"	"New"	""	""	""	"https://perfectketo.com/keto-snacks/"	""	"2023-05-01 16:59:08"
"cabbage carbs"	"People also ask, Knowledge panel, Top stories, Thumbnail, Sitelinks"	"2700"	"17"	""	"321"	"165"	"-157"	"0"	"3"	"6"	"-3"	""	"https://perfectketo.com/carbs-in-cabbage/"	""	"https://perfectketo.com/carbs-in-cabbage/"	"2023-03-01 09:55:09"	"2023-04-27 16:27:37"
"keto food near me"	"People also ask, Top stories, Thumbnail"	"5800"	"43"	""	""	"157"	""	"0"	""	"8"	"New"	""	""	""	"https://perfectketo.com/keto-fast-food/"	""	"2023-04-30 08:53:54"
"how long to get into ketosis"	"Featured snippet, Thumbnail, People also ask, Sitelinks, Video preview"	"5000"	"17"	"0.19"	"124"	"155"	"31"	"0"	"9"	"8"	"1"	""	"https://perfectketo.com/how-long-ketosis/"	""	"https://perfectketo.com/how-long-ketosis/"	"2023-03-01 05:13:42"	"2023-05-02 05:05:15"
"keto fast food near me"	"People also ask, Local teaser, Sitelinks, Top stories, Thumbnail"	"400"	"40"	""	"152"	"152"	"0"	"0"	"1"	"1"	""	""	"https://perfectketo.com/keto-fast-food/"	""	"https://perfectketo.com/keto-fast-food/"	"2023-03-01 04:37:37"	"2023-04-27 07:56:04"
"keto macros"	"Featured snippet, Thumbnail, People also ask"	"7500"	"42"	"2.34"	"152"	"152"	"0"	"0"	"7"	"7"	""	""	"https://perfectketo.com/keto-macro-calculator/"	""	"https://perfectketo.com/keto-macro-calculator/"	"2023-03-01 14:26:17"	"2023-04-30 01:29:45"
"keto bone broth"	"Top stories, Thumbnail, People also ask, Shopping results"	"800"	"12"	"2.74"	"0"	"147"	"147"	"0"	"12"	"1"	"11"	""	"https://perfectketo.com/keto-chicken-bone-broth/"	"Top stories"	"https://perfectketo.com/keto-chicken-bone-broth/"	"2023-03-01 13:20:37"	"2023-04-26 17:12:55"
"low carb protein powder"	"People also ask, Shopping results, Thumbnail, Top stories, Video preview"	"4200"	"17"	"2.10"	""	"141"	""	"0"	""	"5"	"New"	""	""	""	"https://perfectketo.com/low-carb-protein-powder/"	""	"2023-05-01 04:25:41"
"keto for women"	"People also ask, Sitelinks"	"1800"	"22"	""	"89"	"139"	"50"	"0"	"7"	"5"	"2"	""	"https://perfectketo.com/keto-for-women/"	""	"https://perfectketo.com/keto-for-women/"	"2023-02-24 20:54:05"	"2023-04-30 18:07:35"
"low carb noodles"	"People also ask, Top stories, Thumbnail, Shopping results, Video preview"	"12000"	"21"	"0.48"	"0"	"136"	"136"	"0"	"81"	"12"	"69"	""	"https://perfectketo.com/is-pasta-low-carb/"	""	"https://perfectketo.com/best-low-carb-pasta-and-noodles/"	"2023-02-28 08:12:18"	"2023-04-30 16:01:44"
"how much weight will i lose on keto calculator"	"Featured snippet, Thumbnail, Sitelinks, People also ask"	"350"	"50"	""	"132"	"132"	"0"	"0"	"1"	"1"	""	"Featured snippet"	"https://perfectketo.com/fast-will-lose-weight-keto-expect-dieting-keto/"	"Featured snippet"	"https://perfectketo.com/fast-will-lose-weight-keto-expect-dieting-keto/"	"2023-02-09 16:27:34"	"2023-04-29 08:14:04"
"keto diet plan for weight loss"	"People also ask, Sitelinks, Video preview"	"1500"	"70"	"4.18"	"82"	"127"	"45"	"0"	"6"	"4"	"2"	""	"https://perfectketo.com/keto-weight-loss-meal-plan/"	""	"https://perfectketo.com/keto-weight-loss-meal-plan/"	"2023-02-23 05:03:17"	"2023-04-28 10:15:23"
"fasting diarrhea"	"Featured snippet, Thumbnail, People also ask"	"1000"	"8"	"0.05"	"154"	"123"	"-31"	"0"	"2"	"3"	"-1"	""	"https://perfectketo.com/diarrhea-during-fasting/"	""	"https://perfectketo.com/diarrhea-during-fasting/"	"2023-02-23 00:12:33"	"2023-04-28 20:06:33"
"is crystal light keto"	"People also ask"	"500"	"9"	""	"120"	"120"	"0"	"0"	"1"	"1"	""	""	"https://perfectketo.com/crystal-light-keto-friendly/"	""	"https://perfectketo.com/crystal-light-keto-friendly/"	"2023-02-26 05:33:18"	"2023-05-01 01:10:09"
"keto fast food options"	"People also ask, Sitelinks, Videos, Video preview, Top stories, Thumbnail"	"5500"	"38"	"0.14"	"0"	"119"	"119"	"0"	"14"	"4"	"10"	""	"https://perfectketo.com/keto-fast-food/"	""	"https://perfectketo.com/keto-fast-food/"	"2023-03-01 09:36:02"	"2023-04-30 02:24:20"
"keto 2.0 food list"	"Featured snippet, Thumbnail, People also ask, Sitelinks, Top stories, Video preview"	"1500"	"3"	""	"124"	"116"	"-8"	"0"	"5"	"5"	""	""	"https://perfectketo.com/keto-2-0/"	""	"https://perfectketo.com/keto-2-0/"	"2023-02-21 14:10:53"	"2023-04-29 07:35:45"
"www.customer support link.com"	"Sitelinks"	"3000"	"12"	""	"226"	"116"	"-110"	"0"	"5"	"8"	"-3"	""	"https://help.perfectketo.com/article/es9ctgnfjg-how-do-i-contact-customer-support"	""	"https://help.perfectketo.com/article/es9ctgnfjg-how-do-i-contact-customer-support"	"2023-02-24 05:34:44"	"2023-04-30 02:48:19"
"keto macros calculator"	"People also ask, Sitelinks, Videos"	"1300"	"55"	"0.84"	"59"	"116"	"57"	"0"	"5"	"4"	"1"	""	"https://perfectketo.com/keto-macro-calculator/"	""	"https://perfectketo.com/keto-macro-calculator/"	"2023-02-25 05:23:33"	"2023-04-30 11:21:31"
"is popcorn keto friendly"	"Featured snippet, Thumbnail, People also ask, Sitelinks, Top stories, Video preview"	"4300"	"20"	""	"92"	"115"	"23"	"0"	"6"	"5"	"1"	""	"https://perfectketo.com/is-popcorn-keto-friendly/"	""	"https://perfectketo.com/is-popcorn-keto-friendly/"	"2023-02-28 18:32:24"	"2023-05-01 10:55:25"
"keto recipes"	"People also ask, Top stories, Thumbnail, Sitelinks"	"138000"	"61"	"0.54"	"198"	"115"	"-84"	"0"	"20"	"22"	"-2"	""	"https://perfectketo.com/recipes/"	""	"https://perfectketo.com/recipes/"	"2023-02-28 23:41:24"	"2023-04-30 18:09:08"
"sucralose keto"	"People also ask, Video preview"	"2000"	"38"	"0.56"	"3"	"113"	"110"	"0"	"10"	"4"	"6"	""	"https://perfectketo.com/sucralose-keto/"	""	"https://perfectketo.com/sucralose-keto/"	"2023-03-01 20:01:48"	"2023-04-28 09:08:28"
"keto fiber"	"People also ask, Sitelinks"	"1100"	"13"	"0.62"	"76"	"113"	"37"	"0"	"5"	"4"	"1"	""	"https://perfectketo.com/how-to-get-fiber-on-keto/"	""	"https://perfectketo.com/how-to-get-fiber-on-keto/"	"2023-02-25 17:26:06"	"2023-05-02 10:00:05"
"pescatarian keto"	"People also ask, Sitelinks, Knowledge panel"	"350"	"10"	""	"113"	"112"	"-1"	"0"	"1"	"1"	""	""	"https://perfectketo.com/pescatarian-keto-diet/"	""	"https://perfectketo.com/pescatarian-keto-diet/"	"2023-03-01 16:35:57"	"2023-04-24 20:46:18"
"maltodextrin keto"	"Featured snippet, Thumbnail, People also ask, Sitelinks, Video preview"	"900"	"5"	"0.00"	"57"	"109"	"52"	"0"	"4"	"3"	"1"	""	"https://perfectketo.com/maltodextrin-keto/"	""	"https://perfectketo.com/maltodextrin-keto/"	"2023-02-24 14:50:29"	"2023-04-29 00:05:10"
"is canola oil bad"	"Featured snippet, Thumbnail, People also ask, Sitelinks, Video preview, Top stories"	"2700"	"66"	"0.00"	"137"	"109"	"-27"	"0"	"6"	"7"	"-1"	""	"https://perfectketo.com/canola-oil/"	""	"https://perfectketo.com/canola-oil/"	"2023-02-25 17:11:17"	"2023-05-02 00:18:05"
"protein foods list for weight loss"	"Featured snippet, Thumbnail, People also ask, Top stories, Sitelinks"	"3500"	"66"	"3.84"	"109"	"109"	"0"	"0"	"7"	"7"	""	""	"https://perfectketo.com/high-protein-foods-for-weight-loss/"	""	"https://perfectketo.com/high-protein-foods-for-weight-loss/"	"2023-03-01 03:41:08"	"2023-05-01 23:58:29"
"constipated on keto"	"People also ask"	"2300"	"23"	""	"135"	"108"	"-27"	"0"	"5"	"6"	"-1"	""	"https://perfectketo.com/keto-constipation/"	""	"https://perfectketo.com/keto-constipation/"	"2023-02-28 06:06:32"	"2023-05-01 00:30:30"
"carnivore diet"	"People also ask, Sitelinks"	"141000"	"54"	"0.33"	"0"	"108"	"108"	"0"	"64"	"25"	"39"	""	"https://perfectketo.com/carnivore-diet/"	""	"https://perfectketo.com/carnivore-diet/"	"2023-03-01 17:04:17"	"2023-05-01 06:30:41"
"cornstarch keto"	"People also ask, Sitelinks, Top stories, Thumbnail, Image pack"	"350"	"8"	""	"28"	"107"	"80"	"0"	"4"	"1"	"3"	""	"https://perfectketo.com/low-carb-cornstarch-substitute/"	""	"https://perfectketo.com/low-carb-cornstarch-substitute/"	"2023-02-05 02:05:40"	"2023-04-26 14:17:51"
"intermittent fasting ketosis"	"People also ask, Sitelinks"	"1200"	"52"	"0.00"	"330"	"107"	"-223"	"0"	"1"	"3"	"-2"	"Featured snippet"	"https://perfectketo.com/16-8-intermittent-fasting-ketosis/"	""	"https://perfectketo.com/16-8-intermittent-fasting-ketosis/"	"2023-03-01 07:15:22"	"2023-04-28 18:02:09"
"is splenda keto"	"Featured snippet, Thumbnail, People also ask, Sitelinks, Video preview"	"1500"	"16"	""	"105"	"105"	"0"	"0"	"4"	"4"	""	""	"https://perfectketo.com/splenda-keto/"	""	"https://perfectketo.com/splenda-keto/"	"2023-02-23 16:57:31"	"2023-04-27 21:45:04"
"vegan keto recipes"	"Top stories, Thumbnail"	"3700"	"25"	"0.53"	"201"	"103"	"-98"	"0"	"8"	"11"	"-3"	""	"https://perfectketo.com/vegan-keto-recipes/"	""	"https://perfectketo.com/vegan-keto-recipes/"	"2023-02-28 03:55:42"	"2023-05-01 12:52:05"
"is crystal light bad for you"	"People also ask, Sitelinks, Top stories, Thumbnail"	"4300"	"22"	"0.99"	"103"	"103"	"0"	"0"	"6"	"6"	""	""	"https://perfectketo.com/crystal-light-keto-friendly/"	""	"https://perfectketo.com/crystal-light-keto-friendly/"	"2023-02-28 06:29:03"	"2023-05-01 00:40:04"
"is peanut oil healthy"	"Featured snippet, Thumbnail, People also ask, Sitelinks, Top stories, Video preview"	"6900"	"17"	"0.15"	"82"	"102"	"20"	"0"	"11"	"10"	"1"	""	"https://perfectketo.com/is-peanut-oil-healthy/"	""	"https://perfectketo.com/is-peanut-oil-healthy/"	"2023-02-28 01:07:40"	"2023-05-01 04:59:18"
"high protein foods for weight loss"	""	"2400"	"67"	"2.34"	"99"	""	""	""	"7"	""	"Lost"	""	"https://perfectketo.com/high-protein-foods-for-weight-loss/"	""	""	"2023-02-28 09:48:36"	""
"how to drink ketones to lose weight"	"Featured snippet, Thumbnail, People also ask, Top stories, Video preview"	"800"	"17"	""	"101"	"99"	"-2"	"0"	"3"	"3"	""	""	"https://perfectketo.com/ketone-drinks/"	""	"https://perfectketo.com/ketone-drinks/"	"2023-02-24 16:30:34"	"2023-04-29 11:09:24"
"keto poop"	"People also ask, Sitelinks"	"900"	"24"	"0.01"	"305"	"99"	"-206"	"0"	"1"	"3"	"-2"	""	"https://perfectketo.com/keto-poop/"	""	"https://perfectketo.com/keto-poop/"	"2023-02-25 00:24:25"	"2023-05-01 18:52:27"
"is popcorn keto"	"Featured snippet, Thumbnail, People also ask, Top stories, Video preview"	"11000"	"20"	""	"19"	"97"	"79"	"0"	"7"	"5"	"2"	""	"https://perfectketo.com/is-popcorn-keto-friendly/"	""	"https://perfectketo.com/is-popcorn-keto-friendly/"	"2023-03-01 06:35:57"	"2023-05-02 04:08:58"
"crystal light keto"	"People also ask, Sitelinks, Video preview"	"250"	"9"	"0.53"	"97"	"97"	"0"	"0"	"1"	"1"	""	""	"https://perfectketo.com/crystal-light-keto-friendly/"	""	"https://perfectketo.com/crystal-light-keto-friendly/"	"2023-03-01 10:17:32"	"2023-04-23 09:37:25"
"keto diet plan free pdf"	"People also ask, Sitelinks, Video preview"	"2000"	"20"	""	"97"	"97"	"0"	"0"	"7"	"7"	""	""	"https://www.perfectketo.com/wp-content/uploads/2018/03/01_7-Day-Keto-Meal-Plan-Under-1600-Daily-Calories.pdf"	""	"https://www.perfectketo.com/wp-content/uploads/2018/03/01_7-Day-Keto-Meal-Plan-Under-1600-Daily-Calories.pdf"	"2023-02-28 05:26:27"	"2023-04-26 02:54:58"
"low carb cereal"	"People also ask, Top stories, Thumbnail, Shopping results, Video preview"	"10000"	"33"	"0.63"	"97"	"97"	"0"	"0"	"4"	"4"	""	""	"https://perfectketo.com/best-low-carb-cereal/"	""	"https://perfectketo.com/best-low-carb-cereal/"	"2023-02-28 08:48:32"	"2023-05-01 21:09:16"
"targeted ketogenic diet"	"Sitelinks"	"300"	"13"	"0.57"	"36"	"95"	"58"	"0"	"4"	"2"	"2"	""	"https://perfectketo.com/targeted-ketogenic-diet/"	""	"https://perfectketo.com/targeted-ketogenic-diet/"	"2023-02-23 20:32:04"	"2023-04-18 01:51:07"
"keto cloud bread"	"Top stories, Thumbnail, People also ask, Video preview, Image pack"	"3000"	"47"	"1.39"	"38"	"92"	"54"	"0"	"14"	"10"	"4"	""	"https://perfectketo.com/low-carb-cloud-bread/"	""	"https://perfectketo.com/low-carb-cloud-bread/"	"2023-02-27 01:00:32"	"2023-05-02 04:56:36"
"best nut butter for keto"	"Sitelinks, Shopping results, Thumbnail, Top stories, Videos, Image pack"	"250"	"4"	""	"92"	"92"	"0"	"0"	"1"	"1"	""	""	"https://perfectketo.com/healthiest-nut-butters/"	""	"https://perfectketo.com/healthiest-nut-butters/"	"2023-02-23 04:33:15"	"2023-04-17 18:26:13"
"keto shopping list"	"People also ask, Image pack, Sitelinks, Videos"	"7500"	"42"	"2.12"	"20"	"92"	"72"	"0"	"14"	"10"	"4"	""	"https://perfectketo.com/ketogenic-diet-grocery-list/"	""	"https://perfectketo.com/ketogenic-diet-grocery-list/"	"2023-03-01 22:14:47"	"2023-05-01 18:47:51"
"keto tips"	"People also ask"	"600"	"36"	"1.77"	"225"	"91"	"-134"	"0"	"1"	"2"	"-1"	""	"https://perfectketo.com/keto-diet-tips/"	""	"https://perfectketo.com/keto-diet-tips/"	"2023-02-25 20:28:06"	"2023-04-30 22:03:47"
"high-protein foods list for weight loss"	"Featured snippet, Thumbnail, People also ask, Top stories"	"1900"	"67"	""	"91"	"91"	"0"	"0"	"7"	"7"	""	""	"https://perfectketo.com/high-protein-foods-for-weight-loss/"	""	"https://perfectketo.com/high-protein-foods-for-weight-loss/"	"2023-03-01 13:39:00"	"2023-05-01 06:41:04"
"does keto make you poop"	"Featured snippet, Thumbnail, People also ask, Sitelinks"	"250"	"28"	""	"91"	"91"	"0"	"0"	"1"	"1"	""	"Featured snippet"	"https://perfectketo.com/keto-poop/"	"Featured snippet"	"https://perfectketo.com/keto-poop/"	"2023-02-05 10:34:48"	"2023-04-25 21:34:06"
"keto 2.0"	"People also ask, Video preview"	"2400"	"2"	""	"73"	"91"	"18"	"0"	"9"	"8"	"1"	""	"https://perfectketo.com/keto-2-0/"	""	"https://perfectketo.com/keto-2-0/"	"2023-03-01 11:17:06"	"2023-04-26 22:49:06"
"is safflower oil healthy"	"Featured snippet, Thumbnail, People also ask, Sitelinks, Video preview, Top stories"	"1800"	"26"	"0.42"	"91"	"91"	"0"	"0"	"5"	"5"	""	""	"https://perfectketo.com/safflower-oil/"	""	"https://perfectketo.com/safflower-oil/"	"2023-02-24 22:55:09"	"2023-04-30 11:52:33"
"mct oil keto"	"People also ask, Sitelinks, Video preview, Top stories, Thumbnail"	"1200"	"13"	"1.41"	"50"	"88"	"39"	"0"	"6"	"4"	"2"	""	"https://perfectketo.com/what-is-mct-oil/"	""	"https://perfectketo.com/what-is-mct-oil/"	"2023-02-24 08:50:16"	"2023-04-29 13:07:17"
"best low carb protein powder"	"People also ask, Shopping results, Thumbnail, Top stories, Image pack, Video preview"	"1300"	"15"	"0.76"	"0"	"88"	"88"	"0"	"63"	"3"	"60"	""	"https://perfectketo.com/low-carb-keto-protein-powders/"	""	"https://perfectketo.com/low-carb-protein-powder/"	"2023-02-25 18:34:34"	"2023-05-02 03:10:16"
"keto shopping list pdf"	"Sitelinks"	"500"	"30"	"0.32"	"92"	"88"	"-5"	"0"	"2"	"2"	""	""	"https://perfectketo.com/ketogenic-diet-grocery-list/"	""	"https://perfectketo.com/ketogenic-diet-grocery-list/"	"2023-03-01 09:08:53"	"2023-04-27 13:03:05"
"mct oil vs coconut oil"	"People also ask, Top stories, Thumbnail, Sitelinks"	"2400"	"11"	"1.91"	"113"	"87"	"-26"	"0"	"7"	"8"	"-1"	""	"https://perfectketo.com/mct-oil-vs-coconut-oil/"	""	"https://perfectketo.com/mct-oil-vs-coconut-oil/"	"2023-02-23 08:12:13"	"2023-04-28 12:34:51"
"popcorn keto"	"People also ask, Top stories, Thumbnail"	"1900"	"20"	"0.79"	"55"	"87"	"31"	"0"	"7"	"5"	"2"	""	"https://perfectketo.com/is-popcorn-keto-friendly/"	""	"https://perfectketo.com/is-popcorn-keto-friendly/"	"2023-02-23 03:27:53"	"2023-04-28 23:56:54"
